venue_name,venue_country,city,format,year,matches_played,matches_with_result,first_bat_wins,second_bat_wins,avg_innings1_runs,avg_innings2_runs,avg_innings3_runs,avg_innings4_runs,first_bat_win_pct,second_bat_win_pct,innings1_avg_wickets,innings1_avg_boundary_pct,innings1_avg_run_rate,innings2_avg_wickets,innings2_avg_boundary_pct,innings2_avg_run_rate,innings3_avg_wickets,innings3_avg_boundary_pct,innings3_avg_run_rate,innings4_avg_wickets,innings4_avg_boundary_pct,innings4_avg_run_rate,highest_individual_score_batter,highest_individual_score_runs,highest_individual_score_date,highest_individual_score_opponent,best_bowling_bowler,best_bowling_wickets,best_bowling_runs_conceded,best_bowling_date,best_bowling_opponent,top_run_scorer,top_run_scorer_total_runs,top_wicket_taker,top_wicket_taker_total_wickets
Boland Bank Park,South Africa,Paarl,ODI,2009,1,1,0,1,160.0,163.0,,,0.0,100.0,10.0,0.05,3.25,3.0,0.04,4.01,,,,,,,SR Taylor,66,2009-10-21,South Africa,SA Fritz,3,11,2009-10-21,West Indies,SR Taylor,66,D van Niekerk,3
Boland Bank Park,South Africa,Paarl,T20,2009,1,1,1,0,97.0,95.0,,,100.0,0.0,10.0,0.09,5.02,6.0,0.05,4.75,,,,,,,DJS Dottin,52,2009-10-28,South Africa,APC Kilowan,3,20,2009-10-28,West Indies,DJS Dottin,52,APC Kilowan,3
"Boland Bank Park, Paarl",South Africa,Paarl,ODI,2003,3,3,2,1,164.33,109.67,,,66.67,33.33,9.67,0.05,3.72,7.0,0.1,4.9,,,,,,,DLS van Bunge,62,2003-02-12,India,RAP Nissanka,4,12,2003-02-19,Canada,DLS van Bunge,93,TBM de Leede,6
Boland Park,South Africa,Paarl,ODI,2012,1,1,1,0,301.0,43.0,,,100.0,0.0,8.0,0.08,6.02,10.0,0.02,2.13,,,,,,,HM Amla,112,2012-01-11,Sri Lanka,SL Malinga,5,54,2012-01-11,South Africa,HM Amla,112,SL Malinga,5
Boland Park,South Africa,Paarl,ODI,2013,1,1,0,1,208.0,209.0,,,0.0,100.0,10.0,0.06,4.49,9.0,0.08,4.58,,,,,,,F du Plessis,57,2013-01-19,New Zealand,MJ McClenaghan,4,20,2013-01-19,South Africa,F du Plessis,57,KS Williamson,4
Boland Park,South Africa,Paarl,ODI,2016,4,4,2,2,201.25,146.75,,,50.0,50.0,8.75,0.07,4.36,6.5,0.08,4.19,,,,,,,RH Priest,86,2016-10-17,South Africa,SW Bates,3,17,2016-10-19,South Africa,AE Satterthwaite,189,EM Bermingham,7
Boland Park,South Africa,Paarl,ODI,2017,1,1,1,0,353.0,249.0,,,100.0,0.0,6.0,0.09,7.06,10.0,0.08,5.21,,,,,,,AB de Villiers,176,2017-10-18,Bangladesh,AL Phehlukwayo,4,40,2017-10-18,Bangladesh,AB de Villiers,176,AL Phehlukwayo,4
Boland Park,South Africa,Paarl,ODI,2018,1,1,0,1,228.0,231.0,,,0.0,100.0,10.0,0.1,4.61,6.0,0.09,5.04,,,,,,,SC Williams,69,2018-10-06,South Africa,DW Steyn,3,29,2018-10-06,Zimbabwe,SC Williams,69,DW Steyn,3
Boland Park,South Africa,Paarl,ODI,2020,1,1,1,0,291.0,217.0,,,100.0,0.0,7.0,0.07,5.82,10.0,0.05,4.8,,,,,,,H Klaasen,123,2020-02-29,Australia,L Ngidi,3,30,2020-02-29,Australia,H Klaasen,123,L Ngidi,3
Boland Park,South Africa,Paarl,T20,2016,1,1,1,0,147.0,132.0,,,100.0,0.0,7.0,0.17,7.35,6.0,0.11,6.6,,,,,,,SJ Taylor,74,2016-02-18,South Africa,A Shrubsole,3,25,2016-02-18,South Africa,SJ Taylor,74,A Shrubsole,3
Boland Park,South Africa,Paarl,T20,2020,1,1,0,1,146.0,147.0,,,0.0,100.0,6.0,0.11,7.3,6.0,0.17,7.41,,,,,,,DJ Malan,55,2020-11-29,South Africa,T Shamsi,3,19,2020-11-29,England,DJ Malan,55,T Shamsi,3
"Boland Park, Paarl",South Africa,Paarl,ODI,2022,2,2,1,1,291.5,276.5,,,50.0,50.0,5.0,0.09,5.83,5.5,0.09,5.64,,,,,,,HE van der Dussen,129,2022-01-19,India,AL Phehlukwayo,2,26,2022-01-19,India,HE van der Dussen,166,T Shamsi,4
"Boland Park, Paarl",South Africa,Paarl,ODI,2023,1,1,1,0,296.0,218.0,,,100.0,0.0,8.0,0.1,5.92,10.0,0.07,4.76,,,,,,,SV Samson,108,2023-12-21,South Africa,Arshdeep Singh,4,30,2023-12-21,South Africa,SV Samson,108,Arshdeep Singh,4
"Boland Park, Paarl",South Africa,Paarl,ODI,2024,1,1,0,1,239.0,242.0,,,0.0,100.0,9.0,0.08,4.78,7.0,0.07,4.89,,,,,,,Saim Ayub,109,2024-12-17,South Africa,Agha Salman,4,32,2024-12-17,South Africa,Saim Ayub,109,Agha Salman,4
"Boland Park, Paarl",South Africa,Paarl,T20,2023,6,6,4,2,137.17,93.5,,,66.67,33.33,6.83,0.13,6.94,7.17,0.12,5.92,,,,,,,AC Kerr,66,2023-02-19,Sri Lanka,A Gardner,5,12,2023-02-11,New Zealand,AC Kerr,97,LMM Tahuhu,7
"Botkyrka Cricket Center, Stockholm",Sweden,Stockholm,T20,2025,6,6,2,4,145.33,139.67,,,33.33,66.67,7.0,0.14,7.32,6.17,0.16,7.81,,,,,,,Karanbir Singh,88,2025-08-09,France,M Shahbaz Butt,4,11,2025-08-08,France,Bilal Zalmai,145,Umair Tariq,8
Botswana Cricket Association Oval 1,Botswana,Gaborone,T20,2018,8,8,2,6,102.75,78.12,,,25.0,75.0,5.25,0.07,5.18,3.62,0.09,6.06,,,,,,,AM Kamara,84,2018-08-24,Lesotho,B Mpedi,6,8,2018-08-20,Lesotho,AM Kamara,146,B Mpedi,9
"Botswana Cricket Association Oval 1, Gaborone",Botswana,Gaborone,T20,2018,1,1,1,0,210.0,31.0,,,100.0,0.0,5.0,0.22,10.5,7.0,0.02,1.55,,,,,,,Yasmeen Khan,61,2018-08-23,Lesotho,KA Green,2,5,2018-08-23,Lesotho,Yasmeen Khan,61,B Phelenyane,2
"Botswana Cricket Association Oval 1, Gaborone",Botswana,Gaborone,T20,2021,14,14,9,5,133.36,55.36,,,64.29,35.71,6.71,0.1,6.88,6.86,0.08,4.69,,,,,,,FO Kibasu,127,2021-09-14,Eswatini,S Mosweu,6,3,2021-09-10,Mozambique,FO Kibasu,273,SF Jerome,11
"Botswana Cricket Association Oval 1, Gaborone",Botswana,Gaborone,T20,2023,10,10,6,4,107.7,69.8,,,60.0,40.0,6.2,0.08,5.55,6.0,0.09,5.56,,,,,,,Q Abel,71,2023-09-02,Botswana,Q Abel,5,5,2023-09-06,Cameroon,Q Abel,129,Q Abel,13
"Botswana Cricket Association Oval 1, Gaborone",Botswana,Gaborone,T20,2024,8,8,2,6,70.38,52.0,,,25.0,75.0,8.88,0.03,3.71,3.75,0.05,5.0,,,,,,,P Mapotsane,43,2024-04-26,Rwanda,G Matome,4,3,2024-04-22,Lesotho,P Mapotsane,99,MD Bimenyimana,9
"Botswana Cricket Association Oval 1, Gaborone",Botswana,Gaborone,T20,2025,18,18,11,7,101.33,61.67,,,61.11,38.89,6.0,0.05,5.13,6.39,0.04,4.57,,,,,,,E Kamara,71,2025-07-21,Eswatini,G Matome,4,4,2025-04-26,Eswatini,L Mophakedi,222,Aminata Kamara,15
Botswana Cricket Association Oval 2,Botswana,Gaborone,T20,2018,4,4,2,2,95.75,64.75,,,50.0,50.0,6.0,0.08,5.03,4.25,0.18,7.9,,,,,,,O Mondlane,71,2018-08-21,Lesotho,S Namusha,3,6,2018-08-23,Mozambique,O Mondlane,82,KA Green,5
"Botswana Cricket Association Oval 2, Gaborone",Botswana,Gaborone,T20,2021,6,6,3,3,105.83,80.67,,,50.0,50.0,7.5,0.07,5.29,6.0,0.07,5.07,,,,,,,K Awino,39,2021-09-14,Sierra Leone,L Tshuma,4,11,2021-09-16,Rwanda,Aminata Kamara,52,J Efosa,6
"Botswana Cricket Association Oval 2, Gaborone",Botswana,Gaborone,T20,2023,6,6,5,1,160.83,40.17,,,83.33,16.67,5.0,0.15,8.19,8.83,0.06,3.75,,,,,,,Q Abel,109,2023-09-05,Lesotho,G Matome,6,1,2023-09-03,Lesotho,Q Abel,109,A Fillie,6
"Botswana Cricket Association Oval 2, Gaborone",Botswana,Gaborone,T20,2024,4,4,2,2,129.0,74.25,,,50.0,50.0,6.25,0.08,6.45,4.75,0.08,5.38,,,,,,,MD Bimenyimana,43,2024-04-22,Mozambique,AL Mundundo,3,13,2024-04-23,Lesotho,C Magaia,58,O Keitsemang,5
"Botswana Cricket Association Oval 2, Gaborone",Botswana,Gaborone,T20,2025,16,16,11,5,110.06,55.19,,,68.75,31.25,6.56,0.06,5.61,7.56,0.03,3.75,,,,,,,Aminata Kamara,88,2025-04-27,Eswatini,E Guehoada,4,1,2025-07-24,Eswatini,Aminata Kamara,134,M Dlamini,12
Brabourne Stadium,India,Mumbai,ODI,2006,5,5,2,3,162.4,139.4,,,40.0,60.0,9.2,0.07,3.88,5.0,0.1,4.52,,,,,,,AC Gilchrist,92,2006-10-18,West Indies,MF Maharoof,6,14,2006-10-14,West Indies,AC Gilchrist,94,MF Maharoof,7
Brabourne Stadium,India,Mumbai,ODI,2013,10,10,7,3,230.6,186.1,,,70.0,30.0,7.7,0.1,4.67,8.4,0.09,4.27,,,,,,,CM Edwards,109,2013-02-03,India,KH Brunt,4,29,2013-02-03,India,CM Edwards,286,KH Brunt,9
Brabourne Stadium,India,Mumbai,ODI,2018,1,1,1,0,377.0,153.0,,,100.0,0.0,5.0,0.17,7.54,10.0,0.07,4.21,,,,,,,RG Sharma,162,2018-10-29,West Indies,KK Ahmed,3,13,2018-10-29,West Indies,RG Sharma,162,KK Ahmed,3
Brabourne Stadium,India,Mumbai,T20,2007,1,1,0,1,166.0,167.0,,,0.0,100.0,5.0,0.18,8.3,3.0,0.17,9.19,,,,,,,RT Ponting,76,2007-10-20,India,IK Pathan,2,34,2007-10-20,Australia,RT Ponting,76,IK Pathan,2
Brabourne Stadium,India,Mumbai,T20,2018,7,7,2,5,156.71,144.57,,,28.57,71.43,6.57,0.19,7.97,3.86,0.19,8.36,,,,,,,DN Wyatt,124,2018-03-25,India,ML Schutt,3,14,2018-03-31,England,DN Wyatt,213,ML Schutt,9
Brabourne Stadium,India,Mumbai,Test,2009,1,1,0,1,393.0,726.0,309.0,,0.0,100.0,10.0,0.09,4.15,9.0,0.09,4.44,10.0,0.07,3.07,,,,V Sehwag,293,2009-12-02,Sri Lanka,Z Khan,5,72,2009-12-02,Sri Lanka,V Sehwag,293,Harbhajan Singh,6
"Brabourne Stadium, Mumbai",India,Mumbai,T20,2022,3,3,3,0,185.33,158.0,,,100.0,0.0,5.33,0.24,9.27,7.33,0.19,7.9,,,,,,,EA Perry,75,2022-12-14,India,H Graham,4,8,2022-12-20,India,EA Perry,165,A Gardner,6
Bradman Oval,Australia,Bowral,ODI,2014,2,2,1,1,247.5,174.5,,,50.0,50.0,6.5,0.08,4.95,5.5,0.13,5.13,,,,,,,MM Lanning,135,2014-11-16,West Indies,ML Schutt,4,18,2014-11-18,West Indies,MM Lanning,219,EA Perry,4
"Bradman Oval, Bowral",Australia,Bowral,Test,2008,1,1,0,1,154.0,244.0,231.0,144.0,0.0,100.0,10.0,0.03,1.88,10.0,0.03,1.74,9.0,0.06,2.48,4.0,0.06,2.55,LC Sthalekar,98,2008-02-15,England,IT Guha,5,40,2008-02-15,Australia,SC Taylor,143,IT Guha,9
Bready,United Kingdom,Derry,T20,2019,1,1,0,1,171.0,172.0,,,0.0,100.0,9.0,0.2,8.55,2.0,0.26,10.32,,,,,,,CR Ervine,68,2019-07-14,Ireland,KM Jarvis,3,38,2019-07-14,Ireland,CR Ervine,68,KM Jarvis,3
"Bready Cricket Club, Magheramason",United Kingdom,Bready,ODI,2019,1,1,0,1,254.0,258.0,,,0.0,100.0,9.0,0.11,5.08,6.0,0.11,5.32,,,,,,,CR Ervine,105,2019-07-01,Ireland,MR Adair,4,73,2019-07-01,Zimbabwe,CR Ervine,105,MR Adair,4
"Bready Cricket Club, Magheramason",United Kingdom,Londonderry,T20,2015,1,1,0,1,166.0,167.0,,,0.0,100.0,6.0,0.15,8.3,4.0,0.2,9.19,,,,,,,MH Cross,48,2015-06-20,Ireland,GH Dockrell,3,21,2015-06-20,Scotland,MH Cross,48,GH Dockrell,3
"Bready Cricket Club, Magheramason",United Kingdom,Londonderry,T20,2016,2,2,2,0,111.5,88.5,,,100.0,0.0,6.5,0.12,6.92,8.0,0.07,5.71,,,,,,,Nizakat Khan,62,2016-09-05,Ireland,Khadija Tul Kubra,3,5,2016-09-05,Ireland,Nizakat Khan,62,Aizaz Khan,3
"Bready Cricket Club, Magheramason",United Kingdom,Bready,T20,2019,1,1,0,1,132.0,134.0,,,0.0,100.0,8.0,0.28,10.15,1.0,0.32,12.37,,,,,,,PR Stirling,83,2019-07-12,Zimbabwe,MR Adair,4,40,2019-07-12,Zimbabwe,PR Stirling,83,MR Adair,4
"Bready Cricket Club, Magheramason, Bready",United Kingdom,Bready,T20,2021,3,3,3,0,158.67,122.33,,,100.0,0.0,3.33,0.16,7.93,9.67,0.1,6.33,,,,,,,PR Stirling,115,2021-09-01,Zimbabwe,MR Adair,4,23,2021-09-02,Zimbabwe,PR Stirling,173,MR Adair,10
"Bready Cricket Club, Magheramason, Bready",United Kingdom,Bready,T20,2022,5,3,2,1,104.6,83.25,,,66.67,33.33,6.2,0.1,6.46,3.5,0.09,6.59,,,,,,,MM Lanning,74,2022-07-21,Ireland,JL Jonassen,4,17,2022-07-23,Pakistan,MM Lanning,113,A King,8
"Bready Cricket Club, Magheramason, Bready",United Kingdom,Bready,T20,2025,1,1,1,0,256.0,194.0,,,100.0,0.0,5.0,0.33,12.8,7.0,0.21,9.7,,,,,,,E Lewis,91,2025-06-15,Ireland,AJ Hosein,3,27,2025-06-15,Ireland,E Lewis,91,AJ Hosein,3
"Brian Lara Stadium, Tarouba",Trinidad and Tobago,Trinidad,T20,2018,3,3,0,3,130.33,131.33,,,0.0,100.0,5.33,0.13,6.52,3.33,0.14,7.24,,,,,,,HK Matthews,70,2018-10-06,South Africa,A Mohammed,5,24,2018-09-28,South Africa,NY McLean,122,A Mohammed,6
"Brian Lara Stadium, Tarouba, Trinidad",Trinidad and Tobago,Tarouba,ODI,2023,1,1,1,0,351.0,151.0,,,100.0,0.0,5.0,0.14,7.02,10.0,0.1,4.25,,,,,,,Shubman Gill,85,2023-08-01,West Indies,SN Thakur,4,37,2023-08-01,West Indies,Shubman Gill,85,SN Thakur,4
"Brian Lara Stadium, Tarouba, Trinidad",Trinidad and Tobago,Tarouba,ODI,2025,3,3,1,2,248.33,186.67,,,33.33,66.67,7.67,0.1,5.41,6.67,0.08,4.82,,,,,,,SD Hope,120,2025-08-12,Pakistan,JNT Seales,6,18,2025-08-12,Pakistan,SD Hope,207,JNT Seales,10
"Brian Lara Stadium, Tarouba, Trinidad",Trinidad and Tobago,Tarouba,T20,2022,1,1,1,0,190.0,122.0,,,100.0,0.0,6.0,0.2,9.5,8.0,0.12,6.1,,,,,,,RG Sharma,64,2022-07-29,West Indies,R Ashwin,2,22,2022-07-29,West Indies,RG Sharma,64,AS Joseph,2
"Brian Lara Stadium, Tarouba, Trinidad",Trinidad and Tobago,Tarouba,T20,2023,3,3,2,1,182.67,156.67,,,66.67,33.33,6.33,0.19,9.19,8.33,0.18,8.84,,,,,,,PD Salt,119,2023-12-19,West Indies,G Motie,3,24,2023-12-21,England,PD Salt,157,JO Holder,5
"Brian Lara Stadium, Tarouba, Trinidad",Trinidad and Tobago,Tarouba,T20,2024,6,6,2,4,121.33,116.17,,,33.33,66.67,7.67,0.14,6.59,4.67,0.17,8.46,,,,,,,T Stubbs,76,2024-08-23,West Indies,AS Joseph,4,19,2024-06-12,New Zealand,T Stubbs,144,TA Boult,7
Brisbane Cricket Ground,Australia,Brisbane,ODI,2004,2,2,2,0,279.0,257.5,,,100.0,0.0,5.0,0.07,5.58,10.0,0.07,5.31,,,,,,,ML Hayden,109,2004-01-18,India,L Balaji,4,48,2004-01-18,Australia,R Dravid,158,L Balaji,6
Brisbane Cricket Ground,Australia,Brisbane,Test,2004,1,1,0,1,353.0,585.0,76.0,,0.0,100.0,10.0,0.06,3.0,10.0,0.09,3.8,10.0,0.05,2.09,,,,MJ Clarke,141,2004-11-18,New Zealand,CS Martin,5,152,2004-11-18,Australia,MJ Clarke,141,SK Warne,8
Brisbane Cricket Ground,Australia,Brisbane,Test,2021,1,1,0,1,369.0,336.0,294.0,329.0,0.0,100.0,10.0,0.06,3.2,10.0,0.06,3.01,10.0,0.08,3.88,7.0,0.06,3.39,M Labuschagne,108,2021-01-15,India,JR Hazlewood,5,57,2021-01-15,India,M Labuschagne,133,SN Thakur,7
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2005,2,1,0,1,268.0,158.5,,,0.0,100.0,7.0,0.07,5.36,4.5,0.07,4.87,,,,,,,Kamran Akmal,124,2005-01-19,West Indies,PT Collins,3,8,2005-01-21,Australia,WW Hinds,136,IDR Bradshaw,3
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2006,3,3,1,2,258.67,228.67,,,33.33,66.67,8.33,0.08,5.18,5.33,0.08,4.95,,,,,,,AC Gilchrist,122,2006-02-14,Sri Lanka,SM Pollock,3,30,2006-01-15,Australia,KC Sangakkara,147,NW Bracken,4
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2007,2,2,1,1,212.5,206.0,,,50.0,50.0,8.5,0.08,4.54,7.0,0.07,4.58,,,,,,,PD Collingwood,106,2007-02-06,New Zealand,J Lewis,4,36,2007-01-19,Australia,PD Collingwood,106,J Lewis,4
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2008,3,1,1,0,239.67,150.0,,,100.0,0.0,7.67,0.07,4.94,6.5,0.11,5.98,,,,,,,G Gambhir,102,2008-02-05,Sri Lanka,B Lee,5,27,2008-02-03,India,MS Dhoni,161,B Lee,6
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2009,1,0,0,0,168.0,123.0,,,,,4.0,0.13,7.64,6.0,0.19,8.79,,,,,,,BJ Haddin,88,2009-02-13,New Zealand,KD Mills,2,22,2009-02-13,Australia,BJ Haddin,88,KD Mills,2
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2010,3,3,1,2,237.67,222.67,,,33.33,66.67,9.0,0.08,5.2,5.0,0.08,5.55,,,,,,,RT Ponting,106,2010-02-14,West Indies,CJ McKay,5,33,2010-11-07,Sri Lanka,CL White,168,CJ McKay,8
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2011,1,1,1,0,249.0,198.0,,,100.0,0.0,10.0,0.09,5.03,10.0,0.07,4.35,,,,,,,MJ Clarke,54,2011-01-30,England,CR Woakes,6,45,2011-01-30,Australia,MJ Clarke,54,CR Woakes,6
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2012,3,3,3,0,299.33,240.67,,,100.0,0.0,5.67,0.08,5.99,10.0,0.07,5.19,,,,,,,DA Warner,163,2012-03-04,Sri Lanka,BW Hilfenhaus,5,33,2012-02-19,India,DA Warner,206,B Lee,6
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2013,1,1,0,1,74.0,75.0,,,0.0,100.0,10.0,0.04,2.78,6.0,0.09,3.75,,,,,,,MA Starc,22,2013-01-18,Sri Lanka,KMDN Kulasekara,5,22,2013-01-18,Australia,MA Starc,22,KMDN Kulasekara,5
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2014,1,1,0,1,300.0,301.0,,,0.0,100.0,8.0,0.08,6.0,9.0,0.1,6.08,,,,,,,EJG Morgan,106,2014-01-17,Australia,GJ Maxwell,2,31,2014-01-17,England,EJG Morgan,106,CJ Jordan,2
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2015,3,3,1,2,222.0,216.67,,,33.33,66.67,8.67,0.06,4.71,6.33,0.08,5.22,,,,,,,Shaiman Anwar,106,2015-02-25,Ireland,ST Finn,5,33,2015-01-20,India,Shaiman Anwar,106,ST Finn,5
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2016,1,1,0,1,308.0,309.0,,,0.0,100.0,8.0,0.09,6.16,3.0,0.09,6.31,,,,,,,RG Sharma,124,2016-01-15,Australia,JP Faulkner,2,64,2016-01-15,India,RG Sharma,124,JP Faulkner,2
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2017,1,1,1,0,268.0,176.0,,,100.0,0.0,9.0,0.09,5.36,10.0,0.04,4.12,,,,,,,MS Wade,100,2017-01-13,Pakistan,JP Faulkner,4,32,2017-01-13,Pakistan,MS Wade,100,JP Faulkner,4
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,ODI,2018,1,1,0,1,270.0,274.0,,,0.0,100.0,9.0,0.08,5.4,6.0,0.12,6.18,,,,,,,AJ Finch,106,2018-01-19,England,MA Starc,4,59,2018-01-19,England,AJ Finch,106,MA Starc,4
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,T20,2006,1,1,1,0,209.0,114.0,,,100.0,0.0,3.0,0.22,10.45,10.0,0.13,6.16,,,,,,,DR Martyn,96,2006-01-09,South Africa,NW Bracken,2,9,2006-01-09,South Africa,DR Martyn,96,A Symonds,2
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,T20,2009,1,1,0,1,157.0,161.0,,,0.0,100.0,5.0,0.12,7.85,4.0,0.16,8.55,,,,,,,JP Duminy,69,2009-01-13,Australia,JR Hopes,2,29,2009-01-13,South Africa,JP Duminy,69,JR Hopes,2
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,T20,2013,1,1,1,0,191.0,164.0,,,100.0,0.0,6.0,0.18,9.55,8.0,0.11,8.2,,,,,,,J Charles,57,2013-02-13,Australia,JP Faulkner,3,28,2013-02-13,West Indies,J Charles,57,JP Faulkner,3
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,T20,2018,1,1,1,0,158.0,169.0,,,100.0,0.0,4.0,0.17,9.29,7.0,0.21,9.94,,,,,,,S Dhawan,76,2018-11-21,Australia,A Zampa,2,22,2018-11-21,India,S Dhawan,76,A Zampa,2
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,T20,2019,1,1,0,1,117.0,118.0,,,0.0,100.0,10.0,0.1,6.16,1.0,0.19,9.08,,,,,,,DA Warner,60,2019-10-30,Sri Lanka,A Zampa,2,20,2019-10-30,Sri Lanka,DA Warner,60,A Zampa,2
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2006,1,1,1,0,602.0,157.0,202.0,370.0,100.0,0.0,9.0,0.07,3.88,10.0,0.04,2.57,1.0,0.07,4.47,10.0,0.08,3.69,RT Ponting,196,2006-11-23,England,GD McGrath,6,50,2006-11-23,England,RT Ponting,256,GD McGrath,7
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2007,1,1,1,0,551.0,211.0,300.0,,100.0,0.0,4.0,0.07,3.65,10.0,0.06,2.58,10.0,0.07,3.02,,,,MJ Clarke,145,2007-11-08,Sri Lanka,B Lee,4,26,2007-11-08,Sri Lanka,MJ Clarke,145,B Lee,8
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2008,1,1,1,0,214.0,156.0,268.0,177.0,100.0,0.0,10.0,0.05,2.78,10.0,0.08,3.12,10.0,0.07,3.3,10.0,0.07,3.25,SM Katich,131,2008-11-20,New Zealand,MG Johnson,5,39,2008-11-20,New Zealand,SM Katich,141,MG Johnson,9
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2009,1,1,1,0,480.0,228.0,187.0,,100.0,0.0,8.0,0.07,3.56,10.0,0.09,3.62,10.0,0.09,3.58,,,,AB Barath,104,2009-11-26,Australia,NM Hauritz,3,17,2009-11-26,West Indies,AB Barath,119,BW Hilfenhaus,5
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2010,1,0,0,0,260.0,481.0,517.0,107.0,,,10.0,0.06,3.38,10.0,0.06,3.03,1.0,0.07,3.4,1.0,0.06,4.12,AN Cook,235,2010-11-25,Australia,PM Siddle,6,54,2010-11-25,England,AN Cook,302,PM Siddle,6
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2011,1,1,0,1,295.0,427.0,150.0,19.0,0.0,100.0,10.0,0.07,3.57,10.0,0.06,3.3,10.0,0.05,3.02,1.0,0.29,8.14,MJ Clarke,139,2011-12-01,New Zealand,JL Pattinson,5,27,2011-12-01,New Zealand,MJ Clarke,139,NM Lyon,7
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2012,1,0,0,0,450.0,565.0,166.0,,,,9.0,0.05,2.96,5.0,0.07,4.09,5.0,0.04,2.44,,,,MJ Clarke,259,2012-11-09,South Africa,JL Pattinson,3,93,2012-11-09,South Africa,MJ Clarke,259,JL Pattinson,5
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2013,1,1,1,0,295.0,136.0,401.0,179.0,100.0,0.0,10.0,0.05,3.04,10.0,0.04,2.59,7.0,0.07,4.27,10.0,0.03,2.2,DA Warner,124,2013-11-21,England,SCJ Broad,6,81,2013-11-21,Australia,DA Warner,173,MG Johnson,9
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2014,1,1,0,1,408.0,505.0,224.0,130.0,0.0,100.0,10.0,0.08,3.72,10.0,0.11,4.61,10.0,0.07,3.47,6.0,0.13,5.61,M Vijay,144,2014-12-17,Australia,JR Hazlewood,5,68,2014-12-17,India,M Vijay,171,JR Hazlewood,7
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2015,1,1,1,0,556.0,317.0,264.0,295.0,100.0,0.0,4.0,0.09,4.27,10.0,0.08,3.85,4.0,0.11,6.29,10.0,0.07,3.33,UT Khawaja,174,2015-11-05,New Zealand,MA Starc,4,57,2015-11-05,New Zealand,DA Warner,279,MA Starc,6
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2016,1,1,1,0,429.0,142.0,202.0,450.0,100.0,0.0,10.0,0.07,3.3,10.0,0.04,2.58,5.0,0.12,5.18,10.0,0.05,3.1,Asad Shafiq,137,2016-12-15,Australia,Wahab Riaz,4,89,2016-12-15,Australia,SPD Smith,193,MA Starc,7
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2017,1,1,0,1,302.0,328.0,195.0,173.0,0.0,100.0,10.0,0.05,2.59,10.0,0.05,2.51,10.0,0.05,2.72,0.0,0.07,3.46,SPD Smith,141,2017-11-23,England,JR Hazlewood,3,46,2017-11-23,England,SPD Smith,141,MA Starc,6
"Brisbane Cricket Ground, Woolloongabba",Australia,Brisbane,Test,2019,2,2,0,2,192.0,451.5,237.0,,0.0,100.0,10.0,0.05,2.66,10.0,0.06,3.36,9.5,0.05,3.35,,,,M Labuschagne,185,2019-11-21,Pakistan,PJ Cummins,6,23,2019-01-24,Sri Lanka,M Labuschagne,266,PJ Cummins,15
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,Brisbane,ODI,2003,1,1,0,1,211.0,214.0,,,0.0,100.0,9.0,0.04,4.22,6.0,0.04,4.4,,,,,,,MS Atapattu,70,2003-01-15,Australia,M Muralitharan,4,27,2003-01-15,Australia,MS Atapattu,70,M Muralitharan,4
