venue,country,city,lat,lon,names
Dr D.Y.Patil Stadium,India,Navi Mumbai,19.04226215,73.02670726,"Dr DY Patil Sports Academy, Navi Mumbai; Dr DY Patil Sports Academy; Dr D.Y.Patil Stadium; Dr DY Patil Sports Academy, Mumbai"
Dubai International Cricket Stadium,United Arab Emirates,Dubai,25.0467384,55.219007,"Dubai International Cricket Stadium; Dubai Sports City Cricket Stadium; Dubai International Cricket Stadium, Dubai"
Eden Gardens,India,Kolkata,22.5646093,88.3423371,"Eden Gardens; Eden Gardens, Kolkata; Eden Gardens, Calcutta"
Eden Park,New Zealand,Auckland,-36.8750352,174.7440567,"Eden Park; Eden Park, Auckland; Eden Park No 2; Eden Park Outer Oval"
Edgbaston,United Kingdom,Birmingham,52.4709941,-1.9225861,"Edgbaston; Edgbaston, Birmingham"
Feroz Shah Kotla,India,Delhi,28.6377017,77.2431069,"Feroz Shah Kotla; Arun Jaitley Stadium; Arun Jaitley Stadium, Delhi; Feroz Shah Kotla, Delhi"
Forthill Cricket Ground,United Kingdom,Dundee,56.4748716,-2.8760079,"Forthill, Dundee; Forthill Cricket Ground; Forthill"
FTZ Sports Complex (BOI),Sri Lanka,Katunayake,7.164711943,79.88870754,FTZ Sports Complex (BOI); katunayaka Ayojanamandala Ground
"Gaddafi Stadium, Lahore",Pakistan,Lahore,31.5133615,74.3334644,"Gaddafi Stadium; Gaddafi Stadium, Lahore"
Galle International Stadium,Sri Lanka,Galle,6.0315586,80.2160326,"Galle International Stadium; Galle International Stadium, Galle"
Mangaung Oval,South Africa,Bloemfontein,-29.11655863,26.20521664,"Goodyear Park; Goodyear Park, Bloemfontein; Mangaung Oval; Mangaung Oval, Bloemfontein; Chevrolet Park"
Grace Road,United Kingdom,Leicester,52.6086766,-1.1411037,"Grace Road; Grace Road, Leicester"
"Grand Prairie Stadium, Dallas",United States,Dallas,32.7683435,-96.9860041,"Grand Prairie Stadium, Dallas; Grand Prairie Stadium"
Grange Cricket Club Ground,United Kingdom,Edinburgh,55.96004699,-3.213369261,"Grange Cricket Club Ground, Raeburn Place; Grange Cricket Club Ground, Raeburn Place, Edinburgh; Grange Cricket Club, Raeburn Place, Edinburgh; Grange Cricket Club Ground; Grange Cricket Club Ground, Edinburgh"
Great Barrier Reef Arena,Australia,Mackay,-21.15917466,149.1863296,"Great Barrier Reef Arena, Mackay; Great Barrier Reef Arena; Ray Mitchell Oval, Harrup Park, Mackay"
Green Park,India,Kanpur,26.4821081,80.3477543,"Green Park; Green Park, Kanpur"
Greenfield International Stadium,India,Thiruvananthapuram,8.5723164,76.8847502,"Greenfield International Stadium; Greenfield International Stadium, Thiruvananthapuram"
Gymkhana Club Ground,Kenya,Nairobi,-1.269476932,36.82724208,"Gymkhana Club Ground; Gymkhana Club Ground, Nairobi; Gymkhana Club Ground, Dar-es-Salaam"
Hagley Oval,New Zealand,Christchurch,-43.5344119,172.618646,"Hagley Oval; Hagley Oval, Christchurch"
Harare Sports Club,Zimbabwe,Harare,-17.8136915,31.0504604,"Harare Sports Club; Harare Sports Club, Harare"
Harlequins,South Africa,Pretoria,-25.7675893,28.2171278,Harlequins
Haslegrave Ground,United Kingdom,Loughborough,52.7673311,-1.2301281,"Haslegrave Ground; Haslegrave Ground, Loughborough"
"Hazelaarweg, Rotterdam",Netherlands,Rotterdam,51.967391,4.4800497,"Hazelaarweg, Rotterdam; Hazelaarweg"
Headingley,United Kingdom,Leeds,53.8210076,-1.5777737,"Headingley; Headingley, Leeds"
Himachal Pradesh Cricket Association Stadium,India,Dharamsala,32.1975918,76.3250337,"Himachal Pradesh Cricket Association Stadium; Himachal Pradesh Cricket Association Stadium, Dharamsala; Himachal Pradesh Cricket Association Stadium, Dharamshala; Himachal Pradesh Cricket Association Stadium, Dharmasala"
Holkar Cricket Stadium,India,Indore,22.7242512,75.8796703,"Holkar Cricket Stadium; Holkar Cricket Stadium, Indore"
Hurstville Oval,Australia,Sydney,-33.9612886,151.0993178,Hurstville Oval
ICC Global Cricket Academy,United Arab Emirates,Dubai,25.03812687,55.22649225,"ICC Academy; ICC Academy, Dubai; ICC Global Cricket Academy; ICC Global Cricket Academy, Dubai; ICC Academy Ground No 2; ICC Academy Ground No 2, Dubai"
Reliance Cricket Ground,India,Vadodara,22.34789769,73.14191933,Indian Petrochemicals Corporation Limited Sports Complex Ground; Reliance Cricket Ground
C.ex Coffs International Stadium,Australia,Coffs Harbour,-30.32261395,153.0953954,International Sports Stadium; C.ex Coffs International Stadium
Iqbal Stadium,Pakistan,Faisalabad,31.4338475,73.0857949,"Iqbal Stadium; Iqbal Stadium, Faisalabad"
Jade Stadium,New Zealand,Christchurch,-43.54226247,172.6540186,"Jade Stadium; Jade Stadium, Christchurch; Lancaster Park"
Nairobi Jaffery Sports Club Ground,Kenya,Nairobi,-1.277013318,36.76911671,Jaffery Sports Club Ground; Nairobi Jaffery Sports Club Ground; Nairobi Jaffery Sports Club
John Davies Oval,New Zealand,Queenstown,-45.0160798,168.7385342,"John Davies Oval; John Davies Oval, Queenstown"
JSCA International Stadium Complex,India,Ranchi,23.3104521,85.2748774,"JSCA International Stadium Complex; JSCA International Stadium Complex, Ranchi"
"Junction Oval, Melbourne",Australia,Melbourne,-37.8559903,144.9801966,"Junction Oval; Junction Oval, Melbourne"
Karen Rolton Oval,Australia,Adelaide,-34.9224763,138.5852106,Karen Rolton Oval
Keenan Stadium,India,Jamshedpur,22.8057278,86.1915282,Keenan Stadium
Kennington Oval,United Kingdom,London,51.4821031,-0.1117327,"Kennington Oval; Kennington Oval, London"
"Kensington Oval, Barbados",Barbados,Bridgetown,13.105317,-59.6225631,"Kensington Oval, Barbados; Kensington Oval, Bridgetown; Kensington Oval, Bridgetown, Barbados; Kensington Oval; Kensington Oval, Bridgetown, Bridgetown"
Khan Shaheb Osman Ali Stadium,Bangladesh,Fatullah,23.6502114,90.488824,"Khan Shaheb Osman Ali Stadium; Khan Shaheb Osman Ali Stadium, Fatullah"
R. Premadasa International Cricket Stadium,Sri Lanka,Colombo,6.940200098,79.87227345,"Khettarama Stadium; R. Premadasa International Cricket Stadium; R. Premadasa International Cricket Stadium, Colombo, Sri Lanka; R. Premadasa International Cricket Stadium, Colombo"
Kingsmead,South Africa,Durban,-29.8495671,31.0277475,"Kingsmead; Kingsmead, Durban"
