match_id,format,innings_no,team,bowler,legal_balls,overs_text,overs_decimal,maidens,runs_conceded,wickets,wides,no_balls,dot_balls,boundary_balls_conceded,economy,bowling_strike_rate,bowling_average
test_2016-08-09_west_indies_india_1022597,Test,3,West Indies,ST Gabriel,18,3.0,3.0,0,19,0,0,1,11,2,6.33,,
test_2016-08-09_west_indies_india_1022597,Test,3,West Indies,AS Joseph,24,4.0,4.0,0,23,0,0,2,15,1,5.75,,
test_2016-08-09_west_indies_india_1022597,Test,3,West Indies,ML Cummins,66,11.0,11.0,1,48,6,0,3,41,2,4.36,11.0,8.0
test_2016-08-09_west_indies_india_1022597,Test,3,West Indies,JO Holder,54,9.0,9.0,1,50,0,0,0,23,1,5.56,,
test_2016-08-09_west_indies_india_1022597,Test,3,West Indies,RL Chase,66,11.0,11.0,1,41,1,0,0,42,2,3.73,66.0,41.0
test_2016-08-09_west_indies_india_1022597,Test,3,West Indies,KC Brathwaite,60,10.0,10.0,1,33,0,0,0,40,2,3.3,,
test_2016-08-09_west_indies_india_1022597,Test,4,India,B Kumar,72,12.0,12.0,6,13,1,0,0,65,1,1.08,72.0,13.0
test_2016-08-09_west_indies_india_1022597,Test,4,India,Mohammed Shami,66,11.0,11.0,2,15,3,0,0,54,1,1.36,22.0,5.0
test_2016-08-09_west_indies_india_1022597,Test,4,India,I Sharma,42,7.0,7.0,0,30,2,0,1,29,3,4.29,21.0,15.0
test_2016-08-09_west_indies_india_1022597,Test,4,India,R Ashwin,72,12.0,12.0,2,28,1,0,0,59,3,2.33,72.0,28.0
test_2016-08-09_west_indies_india_1022597,Test,4,India,RA Jadeja,33,5.3,5.5,1,20,2,0,0,24,2,3.64,16.5,10.0
test_2016-08-18_west_indies_india_1022599,Test,1,India,B Kumar,36,6.0,6.0,1,13,0,0,0,31,2,2.17,,
test_2016-08-18_west_indies_india_1022599,Test,1,India,Mohammed Shami,36,6.0,6.0,2,14,0,0,1,28,2,2.33,,
test_2016-08-18_west_indies_india_1022599,Test,1,India,I Sharma,30,5.0,5.0,3,7,1,0,0,27,1,1.4,30.0,7.0
test_2016-08-18_west_indies_india_1022599,Test,1,India,R Ashwin,30,5.0,5.0,1,22,1,0,0,19,3,4.4,30.0,22.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,1,New Zealand,TG Southee,102,17.0,17.0,8,28,2,0,0,89,3,1.65,51.0,14.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,1,New Zealand,TA Boult,66,11.0,11.0,5,23,0,0,0,58,5,2.09,,
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,1,New Zealand,MJ Santner,84,14.0,14.0,5,16,2,0,0,72,0,1.14,42.0,8.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,1,New Zealand,N Wagner,125,20.5,20.833,9,41,6,0,0,107,6,1.97,20.83,6.83
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,1,New Zealand,IS Sodhi,90,15.0,15.0,3,54,0,0,0,65,8,3.6,,
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,2,Zimbabwe,MT Chinouya,156,26.0,26.0,6,79,1,1,0,126,14,3.04,156.0,79.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,2,Zimbabwe,DT Tiripano,168,28.0,28.0,4,82,1,0,6,130,9,2.93,168.0,82.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,2,Zimbabwe,PS Masvaure,60,10.0,10.0,0,38,0,3,4,44,4,3.8,,
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,2,Zimbabwe,AG Cremer,318,53.0,53.0,4,187,1,0,0,201,18,3.53,318.0,187.0
test_2016-07-28_zimbabwe_new_zealand_1024041,Test,2,Zimbabwe,Sikandar Raza,155,25.5,25.833,4,106,1,0,0,93,11,4.1,155.0,106.0
